Cell Number,Perimeter,Area,Circularity,Major Axis,Minor Axis,Ratio
1,153.05382311344147,1670.0,1.068006865875308,23.0,24.0,0.9583333333333334
2,177.0954531431198,2217.5,1.0636148557428704,25.5,27.0,0.9444444444444444
3,174.8528116941452,2147.0,1.0599939664422084,24.5,27.5,0.8909090909090909
4,172.61017084121704,2043.5,1.0475648796099435,22.0,29.5,0.7457627118644068
5,164.6101713180542,1880.5,1.0537558370024458,23.0,26.0,0.8846153846153846
6,180.40916061401367,2178.5,1.034856632814117,21.0,32.5,0.6461538461538462
7,172.02438509464264,2106.0,1.0670853576273414,24.5,27.0,0.9074074074074074
8,172.26702558994293,2093.5,1.0624153058716208,24.0,27.0,0.8888888888888888
9,159.19595801830292,1796.0,1.064832065546835,23.0,24.5,0.9387755102040817
10,162.6101711988449,1848.5,1.0576013870826484,23.5,24.5,0.9591836734693877
11,139.49747395515442,1101.5,0.9516689473881575,17.5,24.5,0.7142857142857143
12,132.42640566825867,964.0,0.9378295585639999,14.5,24.0,0.6041666666666666
13,172.16652011871338,2061.0,1.0547518256153723,24.5,26.5,0.9245283018867925
14,201.82337522506714,2841.0,1.0563896639922123,26.5,33.5,0.7910447761194029
15,181.33809292316437,2327.0,1.0640674025662975,26.0,28.0,0.9285714285714286
16,181.33809304237366,2331.0,1.0649815492878587,25.5,29.0,0.8793103448275862
17,167.53910386562347,1711.0,0.9875720904671783,21.5,26.0,0.8269230769230769
18,193.33809447288513,2605.0,1.0559574564930332,26.5,31.0,0.8548387096774194
19,160.85281193256378,1825.0,1.0623381267216558,23.5,24.5,0.9591836734693877
20,172.6101711988449,2111.5,1.0648517547814038,24.0,28.0,0.8571428571428571
21,192.16652035713196,2562.0,1.0535904557215763,27.5,29.5,0.9322033898305084
22,159.53910398483276,1797.0,1.0628375295998493,23.0,25.0,0.92
23,187.58073389530182,2443.5,1.054090580271268,26.5,28.5,0.9298245614035088
24,185.2964630126953,2186.5,1.00940999957995,23.0,31.0,0.7419354838709677
25,168.95331692695618,2025.5,1.0655145700896698,24.5,26.0,0.9423076923076923
26,168.61017179489136,2026.5,1.0679465681619913,24.5,26.0,0.9423076923076923
27,173.8822500705719,1804.0,0.9770639877492335,21.0,30.0,0.7
28,161.19595789909363,1816.0,1.0574595557042723,21.5,26.5,0.8113207547169812
29,184.85281217098236,2363.0,1.0518790131465967,26.0,29.0,0.896551724137931
30,170.02438521385193,2055.0,1.0664848520300212,24.5,26.0,0.9423076923076923
31,175.09545230865479,2184.5,1.0677292725985192,25.5,27.0,0.9444444444444444
32,171.09545302391052,2055.5,1.0599375154590627,24.5,26.5,0.9245283018867925
33,163.43859922885895,1882.5,1.0618736701011111,22.0,27.0,0.8148148148148148
34,166.6101714372635,1968.5,1.0651878146506697,23.5,26.0,0.9038461538461539
35,153.19595801830292,1647.0,1.0596427817124892,21.0,24.0,0.875
36,182.61017179489136,2309.5,1.0526742742546298,24.5,30.0,0.8166666666666667
37,162.36753058433533,1816.0,1.049829392661499,22.0,26.5,0.8301886792452831
38,178.85281229019165,2259.0,1.062973244751625,25.5,28.0,0.9107142857142857
39,181.33809411525726,2267.0,1.0502597076642295,25.5,28.5,0.8947368421052632
40,170.26702630519867,2045.5,1.0625005953110849,25.0,26.0,0.9615384615384616
41,160.85281229019165,1830.0,1.0637923866755643,23.0,25.0,0.92
42,162.61017191410065,1884.5,1.0678502490048014,24.0,24.5,0.9795918367346939
43,169.19595849514008,2002.0,1.05779629821783,23.0,27.0,0.8518518518518519
44,159.88224947452545,1787.0,1.0576014013971446,22.5,25.5,0.8823529411764706
45,194.99494850635529,2599.0,1.0457786476342896,26.0,31.5,0.8253968253968254
46,164.02438497543335,1918.0,1.0680113664191027,23.5,25.5,0.9215686274509803
47,164.26702618598938,1905.5,1.0629530267872458,23.0,26.0,0.8846153846153846
48,163.19595849514008,1919.0,1.073712673562895,24.0,25.0,0.96
49,156.0243856906891,1692.0,1.0545512464686724,21.0,25.0,0.84
50,179.43859791755676,2213.5,1.048778769580158,26.5,27.0,0.9814814814814815
51,186.8528130054474,2464.0,1.0626266479063666,27.5,28.5,0.9649122807017544
52,168.85281229019165,2026.0,1.0662803687829892,24.5,26.0,0.9423076923076923
53,160.7106772661209,1771.0,1.047428871332947,20.5,27.0,0.7592592592592593
